consecutive_wins,ending_balance,max_drawdown_pct,max_leverage,profile,scenario,seed,starting_balance,strategy,total_return_pct,trades,win_rate,zombies_killed
0,10000.0,0.0,1.0,conservative,extreme_volatility_spike,0,10000.0,fabio_aaa_full,0.0,0,0.0,11
1,10151.108291627768,0.0,1.0,conservative,whipsaw_chop,0,10000.0,fabio_aaa_full,1.5110829162776827,1,100.0,0
0,10000.0,0.0,1.0,conservative,trending_with_brutal_retracements,0,10000.0,fabio_aaa_full,0.0,0,0.0,2
1,10011.18980075511,0.0,1.0,conservative,gap_fest,0,10000.0,fabio_aaa_full,0.111898007551099,1,100.0,3
2,10014.73712912431,0.0,1.0,conservative,liquidity_crisis,0,10000.0,fabio_aaa_full,0.1473712912431074,2,100.0,5
0,10000.0,0.0,1.0,conservative,momentum_trap,0,10000.0,fabio_aaa_full,0.0,0,0.0,4
1,10014.405060631128,0.0,1.0,conservative,extreme_chaos,0,10000.0,fabio_aaa_full,0.14405060631128436,1,100.0,7
0,10000.0,0.0,1.0,conservative,extreme_volatility_spike,1,10000.0,fabio_aaa_full,0.0,0,0.0,10
1,10155.909064495288,0.0,1.0,conservative,whipsaw_chop,1,10000.0,fabio_aaa_full,1.5590906449528847,1,100.0,2
2,10015.625973720682,0.0,1.0,conservative,trending_with_brutal_retracements,1,10000.0,fabio_aaa_full,0.1562597372068194,2,100.0,0
0,10000.0,0.0,1.0,conservative,gap_fest,1,10000.0,fabio_aaa_full,0.0,0,0.0,5
2,10007.95403766422,0.0,1.0,conservative,liquidity_crisis,1,10000.0,fabio_aaa_full,0.07954037664219868,3,66.66666666666666,4
0,10000.0,0.0,1.0,conservative,momentum_trap,1,10000.0,fabio_aaa_full,0.0,0,0.0,4
2,10232.72328274118,0.0,1.0,conservative,extreme_chaos,1,10000.0,fabio_aaa_full,2.327232827411808,2,100.0,3
2,10258.654826338307,0.0,1.0,conservative,extreme_volatility_spike,2,10000.0,fabio_aaa_full,2.586548263383065,2,100.0,1
3,10441.383810325897,0.0,1.0,conservative,whipsaw_chop,2,10000.0,fabio_aaa_full,4.413838103258968,3,100.0,1
1,10007.655564648878,0.0,1.0,conservative,trending_with_brutal_retracements,2,10000.0,fabio_aaa_full,0.0765556464887777,1,100.0,2
1,10013.682565137384,0.0,1.0,conservative,gap_fest,2,10000.0,fabio_aaa_full,0.1368256513738379,1,100.0,6
1,10034.163539896008,0.0,1.0,conservative,liquidity_crisis,2,10000.0,fabio_aaa_full,0.34163539896007933,1,100.0,9
0,10000.0,0.0,1.0,conservative,momentum_trap,2,10000.0,fabio_aaa_full,0.0,0,0.0,4
0,10000.0,0.0,1.0,conservative,extreme_chaos,2,10000.0,fabio_aaa_full,0.0,0,0.0,15
2,10367.805180591722,0.0,1.0,conservative,extreme_volatility_spike,3,10000.0,fabio_aaa_full,3.678051805917221,2,100.0,7
2,10279.054942276975,0.0,1.0,conservative,whipsaw_chop,3,10000.0,fabio_aaa_full,2.7905494227697454,2,100.0,1
0,10000.0,0.0,1.0,conservative,trending_with_brutal_retracements,3,10000.0,fabio_aaa_full,0.0,0,0.0,3
1,9998.803450618216,0.0119654938178428,1.0,conservative,gap_fest,3,10000.0,fabio_aaa_full,-0.0119654938178428,2,50.0,5
1,10033.567805607263,0.0,1.0,conservative,liquidity_crisis,3,10000.0,fabio_aaa_full,0.33567805607262924,1,100.0,10
0,10000.0,0.0,1.0,conservative,momentum_trap,3,10000.0,fabio_aaa_full,0.0,0,0.0,4
0,10000.0,0.0,1.0,conservative,extreme_chaos,3,10000.0,fabio_aaa_full,0.0,0,0.0,13
