consecutive_wins,ending_balance,max_drawdown_pct,max_leverage,profile,scenario,seed,starting_balance,strategy,total_return_pct,trades,win_rate,zombies_killed
0,10000.0,0.0,1.0,high,extreme_volatility_spike,0,10000.0,fabio_aaa_full,0.0,0,0.0,11
1,10755.541458138838,0.0,1.0,high,whipsaw_chop,0,10000.0,fabio_aaa_full,7.555414581388377,1,100.0,0
0,10000.0,0.0,1.0,high,trending_with_brutal_retracements,0,10000.0,fabio_aaa_full,0.0,0,0.0,2
1,10055.949003775546,0.0,1.0,high,gap_fest,0,10000.0,fabio_aaa_full,0.5594900377554587,1,100.0,3
2,10073.789072159683,0.0,1.0,high,liquidity_crisis,0,10000.0,fabio_aaa_full,0.737890721596832,2,100.0,5
0,10000.0,0.0,1.0,high,momentum_trap,0,10000.0,fabio_aaa_full,0.0,0,0.0,4
1,10072.025303155642,0.0,1.0,high,extreme_chaos,0,10000.0,fabio_aaa_full,0.7202530315564217,1,100.0,7
0,10000.0,0.0,1.0,high,extreme_volatility_spike,1,10000.0,fabio_aaa_full,0.0,0,0.0,10
1,10779.545322476439,0.0,1.0,high,whipsaw_chop,1,10000.0,fabio_aaa_full,7.795453224764387,1,100.0,2
2,10078.250124407845,0.0,1.0,high,trending_with_brutal_retracements,1,10000.0,fabio_aaa_full,0.7825012440784485,2,100.0,0
0,10000.0,0.0,1.0,high,gap_fest,1,10000.0,fabio_aaa_full,0.0,0,0.0,5
2,10039.730223155611,0.0,1.0,high,liquidity_crisis,1,10000.0,fabio_aaa_full,0.3973022315561138,3,66.66666666666666,4
0,10000.0,0.0,1.0,high,momentum_trap,1,10000.0,fabio_aaa_full,0.0,0,0.0,4
2,11183.030454250393,0.0,1.0,high,extreme_chaos,1,10000.0,fabio_aaa_full,11.830304542503928,2,100.0,3
2,11313.281681384959,0.0,1.0,high,extreme_volatility_spike,2,10000.0,fabio_aaa_full,13.132816813849585,2,100.0,1
3,12432.31572433909,0.0,1.5,high,whipsaw_chop,2,10000.0,fabio_aaa_full,24.323157243390906,3,100.0,1
1,10038.277823244387,0.0,1.0,high,trending_with_brutal_retracements,2,10000.0,fabio_aaa_full,0.3827782324438704,1,100.0,2
1,10068.41282568692,0.0,1.0,high,gap_fest,2,10000.0,fabio_aaa_full,0.6841282568692076,1,100.0,6
1,10170.817699480043,0.0,1.0,high,liquidity_crisis,2,10000.0,fabio_aaa_full,1.708176994800433,1,100.0,9
0,10000.0,0.0,1.0,high,momentum_trap,2,10000.0,fabio_aaa_full,0.0,0,0.0,4
0,10000.0,0.0,1.0,high,extreme_chaos,2,10000.0,fabio_aaa_full,0.0,0,0.0,15
2,11950.208614784571,0.0,1.0,high,extreme_volatility_spike,3,10000.0,fabio_aaa_full,19.502086147845713,2,100.0,7
2,11448.86165752053,0.0,1.0,high,whipsaw_chop,3,10000.0,fabio_aaa_full,14.488616575205308,2,100.0,1
0,10000.0,0.0,1.0,high,trending_with_brutal_retracements,3,10000.0,fabio_aaa_full,0.0,0,0.0,3
1,9994.017253091075,0.059827469089250365,1.0,high,gap_fest,3,10000.0,fabio_aaa_full,-0.059827469089250365,2,50.0,5
1,10167.839028036311,0.0,1.0,high,liquidity_crisis,3,10000.0,fabio_aaa_full,1.6783902803631099,1,100.0,10
0,10000.0,0.0,1.0,high,momentum_trap,3,10000.0,fabio_aaa_full,0.0,0,0.0,4
0,10000.0,0.0,1.0,high,extreme_chaos,3,10000.0,fabio_aaa_full,0.0,0,0.0,13
