consecutive_wins,ending_balance,max_drawdown_pct,max_leverage,profile,scenario,seed,starting_balance,strategy,total_return_pct,trades,win_rate,zombies_killed
0,10000.0,0.0,1.0,mild,extreme_volatility_spike,0,10000.0,fabio_aaa_full,0.0,0,0.0,11
1,10377.77072906942,0.0,1.0,mild,whipsaw_chop,0,10000.0,fabio_aaa_full,3.7777072906941975,1,100.0,0
0,10000.0,0.0,1.0,mild,trending_with_brutal_retracements,0,10000.0,fabio_aaa_full,0.0,0,0.0,2
1,10027.974501887773,0.0,1.0,mild,gap_fest,0,10000.0,fabio_aaa_full,0.27974501887772935,1,100.0,3
2,10036.862215286674,0.0,1.0,mild,liquidity_crisis,0,10000.0,fabio_aaa_full,0.36862215286673744,2,100.0,5
0,10000.0,0.0,1.0,mild,momentum_trap,0,10000.0,fabio_aaa_full,0.0,0,0.0,4
1,10036.012651577821,0.0,1.0,mild,extreme_chaos,0,10000.0,fabio_aaa_full,0.36012651577821087,1,100.0,7
0,10000.0,0.0,1.0,mild,extreme_volatility_spike,1,10000.0,fabio_aaa_full,0.0,0,0.0,10
1,10389.77266123822,0.0,1.0,mild,whipsaw_chop,1,10000.0,fabio_aaa_full,3.8977266123821934,1,100.0,2
2,10039.087482265037,0.0,1.0,mild,trending_with_brutal_retracements,1,10000.0,fabio_aaa_full,0.39087482265036666,2,100.0,0
0,10000.0,0.0,1.0,mild,gap_fest,1,10000.0,fabio_aaa_full,0.0,0,0.0,5
2,10019.877600692022,0.0,1.0,mild,liquidity_crisis,1,10000.0,fabio_aaa_full,0.19877600692021585,3,66.66666666666666,4
0,10000.0,0.0,1.0,mild,momentum_trap,1,10000.0,fabio_aaa_full,0.0,0,0.0,4
2,10584.023379463328,0.0,1.0,mild,extreme_chaos,1,10000.0,fabio_aaa_full,5.840233794633278,2,100.0,3
2,10650.388481413285,0.0,1.0,mild,extreme_volatility_spike,2,10000.0,fabio_aaa_full,6.503884814132853,2,100.0,1
3,11133.466744219833,0.0,1.5,mild,whipsaw_chop,2,10000.0,fabio_aaa_full,11.334667442198333,3,100.0,1
1,10019.138911622194,0.0,1.0,mild,trending_with_brutal_retracements,2,10000.0,fabio_aaa_full,0.19138911622194427,1,100.0,2
1,10034.206412843461,0.0,1.0,mild,gap_fest,2,10000.0,fabio_aaa_full,0.3420641284346129,1,100.0,6
1,10085.40884974002,0.0,1.0,mild,liquidity_crisis,2,10000.0,fabio_aaa_full,0.8540884974002074,1,100.0,9
0,10000.0,0.0,1.0,mild,momentum_trap,2,10000.0,fabio_aaa_full,0.0,0,0.0,4
0,10000.0,0.0,1.0,mild,extreme_chaos,2,10000.0,fabio_aaa_full,0.0,0,0.0,15
2,10931.953546510105,0.0,1.0,mild,extreme_volatility_spike,3,10000.0,fabio_aaa_full,9.319535465101053,2,100.0,7
2,10703.65645901692,0.0,1.0,mild,whipsaw_chop,3,10000.0,fabio_aaa_full,7.0365645901692,2,100.0,1
0,10000.0,0.0,1.0,mild,trending_with_brutal_retracements,3,10000.0,fabio_aaa_full,0.0,0,0.0,3
1,9997.008626545537,0.029913734544625183,1.0,mild,gap_fest,3,10000.0,fabio_aaa_full,-0.029913734544625183,2,50.0,5
1,10083.919514018155,0.0,1.0,mild,liquidity_crisis,3,10000.0,fabio_aaa_full,0.839195140181546,1,100.0,10
0,10000.0,0.0,1.0,mild,momentum_trap,3,10000.0,fabio_aaa_full,0.0,0,0.0,4
0,10000.0,0.0,1.0,mild,extreme_chaos,3,10000.0,fabio_aaa_full,0.0,0,0.0,13
