strategy,scenario,stop_scale,avg_total_return,avg_win_rate,avg_max_drawdown,avg_trades,score
ema_scalper,vol_spike,0.5,0.008724294565681478,0.30118677375256325,0.03451318417627615,6.45,0.25278150289240564
ema_scalper,vol_spike,0.75,0.007103273341896471,0.37666666666666665,0.03423427700175135,4.6,0.20749009367228885
ema_scalper,vol_spike,1.0,0.00888131553731165,0.39519841269841266,0.033335781676981056,3.9,0.2664198974954397
ema_scalper,vol_spike,1.5,-0.014210489702553319,0.36380952380952386,0.0429065957449433,3.55,-0.33119592584382734
ema_scalper,vol_spike,2.0,-0.004151473501935199,0.45583333333333337,0.03375590601392587,2.6,-0.12298510074718554
ema_scalper,vol_spike,3.0,-0.0035536497497561216,0.47666666666666674,0.03295704963753392,2.25,-0.1078266953152555
ema_scalper,uptrend,0.5,0.6412992827193726,0.925,0.0004964060467874786,1.15,641.2992827193726
ema_scalper,uptrend,0.75,0.6414266892935941,0.975,0.00023806531797866405,1.05,641.4266892935941
ema_scalper,uptrend,1.0,0.641434702675425,0.975,0.0002553102814114749,1.05,641.434702675425
ema_scalper,uptrend,1.5,0.640734535996149,0.975,0.0004529438399733687,1.05,640.734535996149
ema_scalper,uptrend,2.0,0.6404468736104063,0.975,0.0005672580287299667,1.05,640.4468736104063
ema_scalper,uptrend,3.0,0.6394818961589823,0.975,0.0008176744118172097,1.05,639.4818961589823
ema_scalper,downtrend,0.5,0.3815136864647089,0.975,0.00013104240935141732,1.05,381.5136864647089
ema_scalper,downtrend,0.75,0.3817792406201832,1.0,0.0,1.0,381.7792406201832
ema_scalper,downtrend,1.0,0.3817792406201832,1.0,0.0,1.0,381.7792406201832
ema_scalper,downtrend,1.5,0.3817792406201832,1.0,0.0,1.0,381.7792406201832
ema_scalper,downtrend,2.0,0.3817792406201832,1.0,0.0,1.0,381.7792406201832
ema_scalper,downtrend,3.0,0.3817792406201832,1.0,0.0,1.0,381.7792406201832
holy_grail,vol_spike,0.5,0.009713314337152463,0.15610760073260072,0.032992523770311685,16.9,0.294409557897871
holy_grail,vol_spike,0.75,0.007857733470179457,0.17374979277920455,0.033583465631575556,11.85,0.23397625356423984
holy_grail,vol_spike,1.0,0.00880184333739093,0.2596120056414174,0.032085205275598085,8.85,0.2743271629957449
holy_grail,vol_spike,1.5,0.013464638986892952,0.2999603174603174,0.028477732272968577,6.15,0.4728128931696488
holy_grail,vol_spike,2.0,0.012047567446412605,0.29234126984126985,0.025961696713218695,4.8,0.4640516211052742
holy_grail,vol_spike,3.0,0.008580843005441246,0.28208333333333335,0.023676495758439026,3.65,0.36242031308128747
holy_grail,uptrend,0.5,0.6446037151543937,0.78,0.0010888337229418398,1.8,592.0129966334863
holy_grail,uptrend,0.75,0.6449494026690046,0.8474999999999999,0.0008176381803545185,1.5,644.9494026690046
holy_grail,uptrend,1.0,0.6449102227639156,0.8474999999999999,0.0008415351605277344,1.5,644.9102227639156
holy_grail,uptrend,1.5,0.644684988876586,0.8791666666666667,0.0009249972907920511,1.35,644.684988876586
holy_grail,uptrend,2.0,0.6440196691069278,0.8833333333333332,0.0012091965045313902,1.3,532.6013321188932
holy_grail,uptrend,3.0,0.6442462531862374,0.8916666666666666,0.0010700587074159052,1.25,602.0662686274791
holy_grail,downtrend,0.5,0.38320960449433156,0.8516666666666666,0.0006796453409659397,1.45,383.20960449433153
holy_grail,downtrend,0.75,0.38345464256064876,0.8875,0.0005736189803223323,1.3,383.4546425606488
holy_grail,downtrend,1.0,0.3834310242926695,0.9125,0.000598468285227638,1.25,383.4310242926695
holy_grail,downtrend,1.5,0.3838163491612291,0.95,0.00029603102377349645,1.1,383.8163491612291
holy_grail,downtrend,2.0,0.38373313548637145,0.95,0.00033638412647963857,1.1,383.73313548637145
holy_grail,downtrend,3.0,0.38339205902808215,0.95,0.0005189444417629585,1.1,383.39205902808214
institutional_sd,vol_spike,0.5,-0.0024096895929740735,0.42000000000000004,0.025792537761841778,2.8,-0.09342584336695389
institutional_sd,vol_spike,0.75,-0.003909697122619449,0.4183333333333333,0.025636070264785326,2.5,-0.15250766136298027
institutional_sd,vol_spike,1.0,-0.0014689062007981091,0.41666666666666663,0.022741728555016532,2.15,-0.06459078944876806
institutional_sd,vol_spike,1.5,0.00494226412901036,0.5083333333333333,0.018581101855580272,1.75,0.2659833721069722
institutional_sd,vol_spike,2.0,0.005443384117260463,0.5083333333333333,0.01811529672559913,1.6,0.3004855067909705
institutional_sd,vol_spike,3.0,0.008347102877963697,0.5666666666666667,0.014122415656738501,1.35,0.5910534770289729
institutional_sd,uptrend,0.5,0.631564190041528,0.66,0.005123003419858063,1.9,123.28006411110808
institutional_sd,uptrend,0.75,0.6182870363663329,0.6416666666666666,0.009395740587893942,2.15,65.80503480087269
institutional_sd,uptrend,1.0,0.6116771524886158,0.6391666666666667,0.01123006231706597,2.05,54.46783243215573
institutional_sd,uptrend,1.5,0.595834410690981,0.6458333333333333,0.016431936660147434,2.05,36.26075386086809
institutional_sd,uptrend,2.0,0.5759014460022457,0.6366666666666667,0.02279195200983295,2.1,25.267754414092707
institutional_sd,uptrend,3.0,0.5536010766932123,0.6433333333333333,0.030168118513690438,2.0,18.350533741173997
institutional_sd,downtrend,0.5,0.3791607570271382,0.825,0.003078001545883924,1.55,123.18406972022909
institutional_sd,downtrend,0.75,0.377658338546491,0.835,0.0038688435696898117,1.45,97.61530331834278
institutional_sd,downtrend,1.0,0.37380914180112457,0.8249999999999998,0.005789741355871669,1.55,64.56404851695592
institutional_sd,downtrend,1.5,0.36497925576666534,0.8058333333333334,0.010230409736551505,1.65,35.675917696889194
institutional_sd,downtrend,2.0,0.36882051692835266,0.8333333333333334,0.00822079096330235,1.4,44.86435898623006
institutional_sd,downtrend,3.0,0.35778567045831167,0.825,0.013820958997231781,1.45,25.887181239013376
